대분류,중분류,세부사항
내과,심혈관질환,고혈압
내과,심혈관질환,심부전
내과,심혈관질환,안정형 협심증
내과,심혈관질환,심근경색
내과,심혈관질환,부정맥
내과,심혈관질환,이상지질혈증
내과,심혈관질환,뇌졸중
내과,심혈관질환,정맥혈전색전증
내과,심혈관질환,하지정맥류
내과,심혈관질환,저혈압
내과,호흡기질환,천식
내과,호흡기질환,COPD
내과,호흡기질환,(아)급성/만성 기침
내과,호흡기질환,롱 코비드
내과,호흡기질환,지역사회폐렴
내과,호흡기질환,병원감염폐렴
내과,호흡기질환,결핵
내과,호흡기질환,말라리아
내과,호흡기질환,인플루엔자
내과,내분비질환,당뇨병
내과,내분비질환,갑상샘 질환
내과,내분비질환,통풍과 고요산혈증
내과,소화기질환,소화성궤양(UC)
내과,소화기질환,위식도역류병
내과,소화기질환,변비
내과,소화기질환,설사
내과,소화기질환,과민대장증후군
내과,소화기질환,기능성 소화불량
내과,소화기질환,염증성장질환
내과,소화기질환,"간경화증, 합병증"
내과,소화기질환,바이러스 간염
내과,소화기질환,급성 충수염
내과,소화기질환,비알코올 지방간질환 (NASH/NAFLD)
내과,소화기질환,위장관감염과 복강내감염
내과,소화기질환,간경화
내과,소화기질환,쓸개관염
내과,소화기질환,담석증
내과,소화기질환,쓸개관/췌장염
내과,신장질환,만성콩팥병 및 투석
내과,감염질환,감염질환 치료 원칙
내과,감염질환,진균감염
내과,감염질환,에이즈
이비인후과,귀,외이도염
이비인후과,귀,중이염
이비인후과,귀,난청
이비인후과,귀,이명 및 어지럼증
이비인후과,귀,메니에르병
이비인후과,귀,이석증
이비인후과,코,알레르기비염
이비인후과,코,부비동염
이비인후과,코,만성비염/부비동염 (충녹증을 포함)
이비인후과,인후,급성상기도감염
이비인후과,인후,편도결석
피부과,,피부연조직감염
피부과,,아토피 피부염
피부과,,건선
피부과,,여드름
피부과,,두드러기
피부과,,화상
피부과,,내향성 손발톱
피부과,,티눈
비뇨기과,,요로감염
비뇨기과,,전립샘염
비뇨기과,,양성전립샘비대
비뇨기과,,요실금
비뇨기과,,요로결석
비뇨기과,,방광염
비뇨기과,,여성형 유방
산부인과,,질염/골반염/방광염
산부인과,,PCOS(다낭성난소)
산부인과,,PMS 및 생리통
산부인과,,성병(STI)
산부인과,,임신준비(난임)
산부인과,,임신성당뇨
산부인과,,요실금
산부인과,,폐경기 호르몬요법
가정의학과,,
안과,,녹내장
안과,,백내장
안과,,안구건조증
안과,,다래끼/결막염
치과,,사랑니발치
치과,,치은염
정신건강의학과,,주요우울장애
정신건강의학과,,공황장애
정신건강의학과,,강박장애
정신건강의학과,,범불안장애
정신건강의학과,,양극성장애
정신건강의학과,,조현병
정신건강의학과,,PTSD
정신건강의학과,,ADHD
정신건강의학과,,틱장애(뚜렛증후군)
정신건강의학과,,섭식장애
소아청소년과,,소아 급성 비인두염
소아청소년과,,소아 부비동염
소아청소년과,,소아 중이염
소아청소년과,,발육부진
소아청소년과,,(감기)
정형외과,,골관절염
정형외과,,류마티스 관절염
정형외과,,골다공증
정형외과,,족저근막염
신경과,,편두통
신경과,,뇌전증
신경과,,알츠하이머병 및 치매
신경과,,파킨슨병
신경과,,하지불안증
신경외과,,뇌수막염
신경외과,,추간판탈출증
신경외과,,손목터널증후군
신경외과,,좌골신경통
비급여질환,,피부과(미용)
비급여질환,,성형외과(미용)
비급여질환,,비만/다이어트
비급여질환,,(사후)피임
비급여질환,,탈모
비급여질환,,발기부전
