PAGE 2 | TEXT:  | URI: https://drive.google.com/file/d/1-NZkFupZLHKOLDbZGucJTByh4O1x_A1m/view?usp=drive_link
PAGE 2 | TEXT:  | URI: https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%95%BD%EC%82%AC%EB%B2%95
PAGE 2 | TEXT:  | URI: https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EC%95%BD%EC%82%AC%EB%B2%95/(20250408,17208,20200407)/%EC%A0%9C23%EC%A1%B0
PAGE 2 | TEXT:  | URI: https://www.law.go.kr/%EB%B2%95%EB%A0%B9/%EB%A7%88%EC%95%BD%EB%A5%98%EA%B4%80%EB%A6%AC%EC%97%90%EA%B4%80%ED%95%9C%EB%B2%95%EB%A5%A0
PAGE 2 | TEXT:  | URI: https://nip.kdca.go.kr/irhp/infm/goVcntInfo.do?menuLv=1&menuCd=162
PAGE 2 | TEXT:  | URI: https://nedrug.mfds.go.kr/index
PAGE 2 | TEXT:  | URI: https://nedrug.mfds.go.kr/pbp/CCBBR01/getList?totalPages=1&page=1&limit=4000&sort=examinResult&sortOrder=true&searchYn=false&startDateStart=&startDateEnd=&searchGbn=itemName&search=
PAGE 2 | TEXT:  | URI: https://www.hira.or.kr/ra/medi/getHistoryList.do?pgmid=HIRAA030035020000
PAGE 2 | TEXT:  | URI: https://www.pharmon.co.kr/?c=information
PAGE 2 | TEXT:  | URI: https://www.law.go.kr/%ED%96%89%EC%A0%95%EA%B7%9C%EC%B9%99/%EC%9D%98%EC%95%BD%ED%92%88%ED%91%9C%EC%A4%80%EC%A0%9C%EC%A1%B0%EA%B8%B0%EC%A4%80
PAGE 2 | TEXT:  | URI: https://www.law.go.kr/%ED%96%89%EC%A0%95%EA%B7%9C%EC%B9%99/%EA%B1%B4%EA%B0%95%EA%B8%B0%EB%8A%A5%EC%8B%9D%ED%92%88%EC%9D%98%20%EA%B8%B0%EC%A4%80%20%EB%B0%8F%20%EA%B7%9C%EA%B2%A9
PAGE 2 | TEXT:  | URI: https://www.foodsafetykorea.go.kr/portal/healthyfoodlife/searchHomeHF.do?menu_grp=MENU_NEW01&menu_no=2823
PAGE 2 | TEXT:  | URI: https://www.mfds.go.kr/docviewer/skin/doc.html?fn=20250529085809634.pdf&rs=/docviewer/result/stat0018/30210/1/202505
PAGE 2 | TEXT:  | URI: https://emedi.mfds.go.kr/portal
PAGE 2 | TEXT:  | URI: https://opendata.hira.or.kr/op/opc/selectOpenData.do?sno=11925&publDataTpCd=&searchCnd=ttl&searchWrd=%EC%A0%84%EA%B5%AD&pageIndex=1
