분류1,분류2,분류3(기전),성분명,상품명
[2. 호르몬&대사 질환],당뇨병 치료제,Biguanide,Metformin,다이아벡스
[2. 호르몬&대사 질환],당뇨병 치료제,TZD,Pioglitazone,액토스[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,TZD,Pioglitazone+Metformin,액토스메트[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,TZD,Lobeglitazone,듀비에[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,TZD,Lobeglitazone+Metformin,듀비메트[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,Sulfonylurea (SU),Gliclazide,디아미크롱[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,Sulfonylurea (SU),Glimepiride,아마릴[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,Sulfonylurea (SU),Glibenclamide,다오닐[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,Sulfonylurea (SU),Glimepiride+Metformin,아마릴M[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,Sulfonylurea (SU),Glipizide,다이그린[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,Sulfonylurea (SU),Glibenclamide+Metformin,글루코반스[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,SGLT-2 inh,Dapagliflozin,포시가[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,SGLT-2 inh,Dapagliflozin+Metformin,직듀오[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,SGLT-2 inh,Empagliflozin,자디앙[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,SGLT-2 inh,Empagliflozin+Metformin,자디앙듀오[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,SGLT-2 inh,Enavogliflozin,엔블로[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,SGLT-2 inh,Enavogliflozin+Metformin,엔블로멧[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,DPP-4 inh,Gemigliptin,제미글로[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,DPP-4 inh,Gemigliptin+Metformin,제미메트[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,DPP-4 inh,Linagliptin,트라젠타[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,DPP-4 inh,Linagliptin+Metformin,트라젠타듀오[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,DPP-4 inh,Sitagliptin,자누비아[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,DPP-4 inh,Sitagliptin+Metformin,자누메트[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,DPP-4 inh,Vildagliptin,가브스[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,DPP-4 inh,Vildagliptin+Metformin,가브스메트[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,DPP-4 inh,Teneligliptin,테넬리아[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,DPP-4 inh,Teneligliptin+Metformin,테넬리아엠[cite: 1]
[2. 호르몬&대사 질환],당뇨병 치료제,DPP-4 inh,Alogliptin,네시나[cite: 1]
