분류1,분류2,분류3(기전),성분명,상품명
[12. 정신/행동장애],뇌기능 개선제,Anticholine-estrase,Donepezil,도네리온패취
[12. 정신/행동장애],뇌기능 개선제,Anticholine-estrase,Donepezil,아리셉트[cite: 1]
[12. 정신/행동장애],뇌기능 개선제,Anticholine-estrase,Donepezil,도네페질액[cite: 1]
[12. 정신/행동장애],뇌기능 개선제,Anticholine-estrase,Galantamine,레미닐피알[cite: 1]
[12. 정신/행동장애],뇌기능 개선제,Anticholine-estrase,Rivastigmine,엑셀론패취[cite: 1]
[12. 정신/행동장애],뇌기능 개선제,Anticholine-estrase,Rivastigmine,엑셀론[cite: 1]
[12. 정신/행동장애],뇌기능 개선제,Ach 전달 촉진제,Choline Alfoscerate,알포콜린시럽[cite: 1]
[12. 정신/행동장애],뇌기능 개선제,Ach 전달 촉진제,Choline Alfoscerate,글리아티린연질[cite: 1]
[12. 정신/행동장애],뇌기능 개선제,Ach 합성 촉진제,Nicergoline,사미온[cite: 1]
[12. 정신/행동장애],뇌기능 개선제,Ach 합성 촉진제,Oxiracetam,뉴로메드[cite: 1]
[12. 정신/행동장애],뇌기능 개선제,Ach 합성 촉진제,Acetyl-L-Carnitine,니세틸정[cite: 1]
[12. 정신/행동장애],뇌기능 개선제,기타,Lecanemab,레켐비[cite: 1]
[12. 정신/행동장애],뇌기능 개선제,기타,Cerebrolysin,세레브로리진[cite: 1]
[12. 정신/행동장애],뇌기능 개선제,기타,Selegiline,마오비[cite: 1]
[12. 정신/행동장애],뇌기능 개선제,기타,Memantine,에빅사[cite: 1]
[12. 정신/행동장애],뇌기능 개선제,기타,Donepezil+Memantine,디엠듀오[cite: 1]
[12. 정신/행동장애],항불안제,BZD,Alprazolam,자낙스[cite: 1]
[12. 정신/행동장애],항불안제,BZD,Bromazepam,명인브로마제팜[cite: 1]
[12. 정신/행동장애],항불안제,BZD,Chlordiazepoxide,리버티[cite: 1]
[12. 정신/행동장애],항불안제,BZD,Chlordiazepoxide+Clidinium,리브락스[cite: 1]
[12. 정신/행동장애],항불안제,BZD,Ethyl Loflazepate,빅손[cite: 1]
[12. 정신/행동장애],항불안제,BZD,Remimazolam,바이파보 주[cite: 1]
[12. 정신/행동장애],항불안제,BZD,Lorazepam,아티반[cite: 1]
[12. 정신/행동장애],항불안제,BZD,Clobazam,센틸[cite: 1]
[12. 정신/행동장애],항불안제,BZD,Diazepam,바리움[cite: 1]
[12. 정신/행동장애],항불안제,BZD,Diazepam,삼진디아제팜주[cite: 1]
[12. 정신/행동장애],항불안제,BZD,Tofisopam,이소탄[cite: 1]
[12. 정신/행동장애],항불안제,Thienodiazepine,Clotiazepam,리제[cite: 1]
[12. 정신/행동장애],항불안제,Thienodiazepine,Etizolam,데파스[cite: 1]
[12. 정신/행동장애],항불안제,기타,Buspirone,부스파[cite: 1]
[12. 정신/행동장애],항불안제,기타,Hydroxyzine,아디팜[cite: 1]
[12. 정신/행동장애],항불안제,기타,Hydroxyzine,유시락스[cite: 1]
[12. 정신/행동장애],항우울제,3급 아민 TCA,Amitriptyline,에나폰[cite: 1]
[12. 정신/행동장애],항우울제,3급 아민 TCA,Amitriptyline,에트라빌[cite: 1]
[12. 정신/행동장애],항우울제,3급 아민 TCA,Clomipramine,환인클로미프라민[cite: 1]
[12. 정신/행동장애],항우울제,3급 아민 TCA,Clomipramine,그로민[cite: 1]
[12. 정신/행동장애],항우울제,3급 아민 TCA,Imipramine,환인이미프라민[cite: 1]
